accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,activity
-0.26000977,-0.95269775,0.19793701,-1.375,-0.71875,0.21875,Sitting Normal
-0.26245117,-0.9439087,0.2140503,-0.140625,-0.703125,-0.4375,Sitting Normal
-0.26464844,-0.9573364,0.22210693,1.046875,-0.15625,0.8125,Sitting Normal
-0.26464844,-0.95269775,0.20916748,-0.984375,-0.890625,-0.1875,Sitting Normal
-0.26586914,-0.94195557,0.2098999,0.078125,-0.4375,-0.046875,Sitting Normal
-0.26831055,-0.9470825,0.21453857,0.1875,0.109375,0.46875,Sitting Normal
-0.26098633,-0.94781494,0.21307373,0.90625,-0.890625,0.09375,Sitting Normal
-0.2705078,-0.9456177,0.21575928,0.421875,-0.234375,0.453125,Sitting Normal
-0.2614746,-0.9429321,0.21160889,-0.0625,-0.765625,-0.15625,Sitting Normal
-0.25927734,-0.9480591,0.21551514,0.5625,-0.34375,0.375,Sitting Normal
-0.26416016,-0.9534302,0.2177124,0.0,-0.390625,0.421875,Sitting Normal
-0.25927734,-0.9404907,0.20721436,-0.140625,-0.84375,-0.015625,Sitting Normal
-0.25463867,-0.9463501,0.21624756,0.703125,-0.125,0.25,Sitting Normal
-0.2680664,-0.9505005,0.215271,0.046875,-0.625,0.171875,Sitting Normal
-0.26513672,-0.9470825,0.21453857,0.265625,-0.453125,0.109375,Sitting Normal
-0.25927734,-0.94732666,0.21038818,0.53125,-0.359375,0.25,Sitting Normal
-0.26513672,-0.94317627,0.21063232,0.046875,-0.4375,0.234375,Sitting Normal
-0.26635742,-0.95147705,0.21478271,0.203125,-0.34375,0.21875,Sitting Normal
-0.26098633,-0.9495239,0.21624756,-0.046875,-0.359375,0.203125,Sitting Normal
-0.26464844,-0.94659424,0.21160889,0.015625,-0.421875,0.15625,Sitting Normal
-0.26586914,-0.9505005,0.21307373,0.203125,-0.390625,0.1875,Sitting Normal
